Continent,Location_of_incursion,Date_of_incursion,Year_of_incursion,Month_of_incursion,Species,Animal_details,Ownership_status,Vaccination,Age_class,Breed,Origin_continent,Location_origin_of_animal,Time_bet_incursion_and_symptoms,Type_of_incursion,Borders_crossed,Mode_of_travel,Incursion_details,Full_details,Seen_details,Phylogenetic_analysis,Public_health_response,Study,Local_transmission,Unusual_cs_transmission,ID_number
Africa,South Africa,2016,2016,,Jackal,,,,,,Africa,South Africa,,Natural,In-country,By land,Suspected incursion from North West Province indicated by phylogenetic analysis; led to outbreak in Gauteng Province,Suspected incursion from North West Province indicated by phylogenetic analysis; led to outbreak in Gauteng Province,Suspected incursion from North West Province indicated by phylogenetic analysis; led to outbreak in Gauteng Province,Yes,PEP,"Ngoepe et al., 2022 (11)",Outbreak,No,11
Asia,Iran,Jan-01,2001,January,Dog,"Owned, unvaccinated prior to travel ",Owned,Unvaccinated,,,Asia,Nepal,5 days,Human-mediated,International,By air,"Imported from Nepal to Iran, where it was vaccinated against rabies","Owned, unvaccinated prior to travel, Imported from Nepal to Iran, where it was vaccinated against rabies ","Owned, unvaccinated prior to importation; vaccinated against rabies following arrival in Iran",No,PEP (owners),"Johnson et al., 2011 (15)",No local transmission,No,12
Asia,Israel,Mar-03,2003,March,Dog,Owned (newly adopted),Owned,,,,Asia,Israel,,Human-mediated,In-country,By land,Adopted by owner during trip to Beer Sheva and brought back to residence,Owned (newly adopted); adopted by owner during trip to Beer Sheva and brought back to residence,Owned (newly adopted); adopted by owner during trip to Beer Sheva and brought back to residence,No,"Contact tracing, PEP, increased public awareness (tourists)","David et al., 2004  (16);  David and Yakobson, 2011 (17)",No local transmission,No,13
Asia,Indonesia,Aug-03,2003,August,Dog,Owned,Owned,Unvaccinated,,,Asia,Indonesia,,Human-mediated,In-country,By water,Imported from Sulawesi to Maluku islands for meat trade ,Owned; imported from Sulawesi to Maluku islands for meat trade ,Owned; imported from Sulawesi to Maluku islands for meat trade ,No,,"Townsend et al., 2013 (7)",No local transmission,No,14
Asia,Bhutan,May-05,2005,May,Dog,Free-roaming,,,,,Asia,India,,Natural,International (shared border),By land,"Bit cow in Gongza village, Toetsho subdistrict, Trashiyangtse, resulting in outbreak that spread to other villages accessible to free-roaming dogs through road network","Free-roaming; bit cow in Gongza village, Toetsho subdistrict, Trashiyangtse, resulting in outbreak that spread to other villages accessible to free-roaming dogs through road network","Free-roaming; bit cow in Gongza village, Toetsho subdistrict, Trashiyangtse, resulting in outbreak that spread to other villages accessible to free-roaming dogs through road network",No,"Mass dog vaccination, PEP,  dog-catching,  vaccination of exposed animals,  increased public awareness","Tenzin et al., 2011 (18); Townsend et al., 2013 (7); Rinchen et al., 2020 (19); Rinchen et al., 2020 (20)",Outbreak,Yes,15
Asia,China,Feb-06,2006,February,Dog,,,,,,Asia,China,,,In-country,By land,"Suspected incursion from Hengshan city into Yongzhou city indicated by phylogenetic analysis; resulted in secondary transmission to local free-roaming owned dog, which visited neighbouring farm and attacked pigs, causing outbreak with 20 pig deaths out of >50 exposed as no control measures were initiated","Suspected incursion from Hengshan city into Yongzhou city indicated by phylogenetic analysis; resulted in secondary transmission to local free-roaming owned dog, which visited neighbouring farm and attacked pigs, causing outbreak with 20 pig deaths out of >50 exposed as no control measures were initiated","Suspected incursion from Hengshan city into Yongzhou city indicated by phylogenetic analysis; resulted in secondary transmission to local free-roaming owned dog, which visited neighbouring farm and attacked pigs, causing outbreak with 20 pig deaths out of >50 exposed as no control measures were initiated",No,,"Jiang et al., 2008 (21)",Outbreak,Yes,16
Asia,Bhutan,2007,2007,,Dog,,,,,,Asia,India,,Natural,International (shared border),By land,"Incursion into Dala subdistrict, Chhukha from India","Incursion into Dala subdistrict, Chhukha from India","Incursion into Dala subdistrict, Chhukha, Bhutan",No,Culling; controlled by 2008,"Townsend et al., 2013 (7)",No local transmission,No,17
Asia,Indonesia,2008,2008,,Dog,Owned,Owned,,,,Asia,Indonesia,,Human-mediated,In-country,By water,"Imported from Flores to Bukit Peninsula, Bali by fishermen with no border controls; bit owners and caused outbreak that spread to other regions with >200 human deaths including owner; delayed detection and response due to poor bite surveillance, non-existent PEP policies, insufficient vaccine stocks and prioritisation of culling","Owned; imported from Flores to Bukit Peninsula, Bali by fishermen with no border controls; bit owners and caused outbreak that spread to other regions with >200 human deaths including owner; delayed detection and response due to poor bite surveillance, non-existent PEP policies, insufficient vaccine stocks and prioritisation of culling","Owned; imported from Flores to Bukit Peninsula, Bali by fishermen with no border controls; bit owners and caused outbreak that spread to other regions with >200 human deaths including owner; delayed detection and response due to poor bite surveillance, non-existent PEP policies, insufficient vaccine stocks and prioritisation of culling",No,"Culling, mass dog vaccination  ","Scott-Orr and Putra, 2009 (22); Clifton, 2010 (23); Batan et al., 2014 (24); Putra et al., 2013 (25); Mahardika et al., 2014 (26); Dibia et al., 2015 (27); Cliquet and Wasniewski, 2018 (28); De Jong et al., 2018 (29); Drake, 2020 (30); Rupprecht et al., 2020 (31); Ward and Brookes, 2021 (32)",Outbreak,No,18
Asia,Bhutan,2008,2008,,Dog,,,,,,Asia,Bhutan,,Natural,In-country,By land,Incursion from south into southwest region of Bhutan,Incursion from south into southwest region of Bhutan,Incursion from south into southwest region,No,,"Rinchen et al., 2020 (19); Rinchen et al., 2020 (20)",No local transmission,No,19
Asia,China,Mar-09,2009,March,Dog,,,,,,Asia,China,,Human-mediated,In-country,By land,"Suspected incursion from Sichuan Province into Hanzhong District, Shaanxi Province indicated by phylogenetic analysis; transport of dogs for meat trade enabled outbreak that resulted in >7,000 biting incidents and 20 human deaths ","Suspected incursion from Sichuan Province into Hanzhong District, Shaanxi Province indicated by phylogenetic analysis; transport of dogs for meat trade enabled outbreak that resulted in >7,000 biting incidents and 20 human deaths ","Suspected incursion from Sichuan Province into Hanzhong District, Shaanxi Province indicated by phylogenetic analysis; transport of dogs for meat trade enabled outbreak that resulted in >7,000 biting incidents and 20 human deaths ",Yes,"Culling, Mass dog vaccination (limited), PEP (limited)","Zhao et al., 2011 (33); Zhang et al., 2014 (34); ",Outbreak,No,20
Asia,Indonesia,Feb-10,2010,February,Dog,,,,,,Asia,Indonesia,,Human-mediated,In-country,By water,Incursion from Sumatra into Nias; caused 1 human rabies death after biting medical official ,Incursion from Sumatra into Nias; caused 1 human rabies death after biting medical official ,Incursion from Sumatra into Nias; caused 1 human rabies death after biting medical official ,No,"Culling, mass dog vaccination","Townsend et al., 2013 (7); Rupprecht et al., 2018 (35); Global Alliance for Rabies Control, 2024 (36)",Secondary transmission,No,21
Asia,China,2010,2010,,Dog,,,,,,Asia,China,,,In-country,By land,"Suspected incursion from Baoding City, Hebei Province into Yangqu County, Shanxi Province indicated by phylogenetic analysis; resulted in secondary transmission to local owned dog which attacked neighbour’s sheep, causing outbreak; spread attributed to high numbers of unvaccinated free-roaming dogs","Suspected incursion from Baoding City, Hebei Province into Yangqu County, Shanxi Province indicated by phylogenetic analysis; resulted in secondary transmission to local owned dog which attacked neighbour’s sheep, causing outbreak; spread attributed to high numbers of unvaccinated free-roaming dogs","Suspected incursion from Baoding City, Hebei Province into Yangqu County, Shanxi Province indicated by phylogenetic analysis; resulted in secondary transmission to local owned dog which attacked neighbour’s sheep, causing outbreak; spread attributed to high numbers of unvaccinated free-roaming dogs",Yes,"Quarantine of exposed animals; sacrifice of associated animals (dog, sheep), mandatory vaccination of pets (owned dogs in the vicinity)","Zhu et al., 2011 (37)",Outbreak,Yes,22
Asia,China,Dec-10,2010,December,Dog,Free-roaming,,,,,Asia,China,,Natural,In-country,By land,"Suspected incursion from Baoding, Hebei Province into Yangqu county, Shaanxi Province indicated by phylogenetic analysis; detected after secondary transmission to dog, which attacked neighbour's sheep and dog; spread due to unvaccinated free-roaming dogs in, lack of border control and meat trade facilitating movement of dogs","Free-roaming; suspected incursion from Baoding, Hebei Province into Yangqu county, Shaanxi Province indicated by phylogenetic analysis; detected after secondary transmission to dog, which attacked neighbour's sheep and dog; spread due to unvaccinated free-roaming dogs in, lack of border control and meat trade facilitating movement of dogs","Free-roaming; suspected incursion from Baoding, Hebei Province into Yangqu county, Shaanxi Province indicated by phylogenetic analysis; detected after secondary transmission to dog, which attacked neighbour's sheep and dog; spread due to unvaccinated free-roaming dogs in, lack of border control and meat trade facilitating movement of dogs",Yes,"Vaccination of exposed animals (dogs), sacrifice of associated animals (sheep)","Zhang et al., (34)",Secondary transmission,No,23
Asia,Russia,Feb-11,2011,February,Fox,,,,,,Asia,Mongolia,,Natural,International (shared border),"By land, water (frozen)",Suspected incursion from Mongolia into Republic of Buryatia through crossing of frozen river indicated by phylogenetic analysis; resulted in outbreak,Suspected incursion from Mongolia into Republic of Buryatia through crossing of frozen river indicated by phylogenetic analysis; resulted in outbreak,"Suspected incursion into Republic of Buryatia, Russia through crossing of frozen river indicated by phylogenetic analysis; resulted in outbreak",Yes,,"Adelshin et al., 2012 (38); Adelshin et al., 2015 (39)",Outbreak,No,24
Asia,Israel,Oct-11,2011,October,Dog,"Owned, unvaccinated 3-year-old",Owned,Unvaccinated,Adult,,Asia,Israel,2 months,Human-mediated,In-country,By land (presumed),"Brought by owners on camping trip to eastern coast of Sea of Galilee and Northern Israel and stayed outside, was bitten by local rabid stray dog and manifested symptoms after return to Israel; incomplete vaccination record (not rabies)","Owned, unvaccinated 3-year-old; Brought by owners on camping trip to eastern coast of Sea of Galilee and Northern Israel and stayed outside, was bitten by local rabid stray dog and manifested symptoms after return to Israel; incomplete vaccination record (not rabies)","Owned, unvaccinated 3-year-old; Brought by owners on camping trip to eastern coast of Sea of Galilee and Northern Israel and stayed outside, was bitten by local rabid stray dog and manifested symptoms after return to Israel; incomplete vaccination record (not rabies)",No,"Contact tracing, PEP","David et al., 2012 (40)",No local transmission,No,25
Asia,Philippines,2011,2011,,Dog,,,,,,Asia,Philippines,,Human-mediated,In-country,By water (presumed),"Suspected long-distance migration from Central Luzon region to Tablas Island, Romblon indicated by phylogenetic analysis","Suspected long-distance migration from Central Luzon region to Tablas Island, Romblon indicated by phylogenetic analysis","Suspected long-distance migration from Central Luzon region to Tablas Island, Romblon indicated by phylogenetic analysis",Yes,,"Tohma et al., 2016 (41)",No local transmission,No,26
Asia,Russia,Feb-12,2012,February,Fox,,,,,,Asia,Mongolia,,Natural,International (shared border),"By land, water (frozen)","Suspected incursion from Mongolia into Republic of Buryatia through crossing of frozen river, indicated by phylogenetic analysis","Suspected incursion from Mongolia into Republic of Buryatia through crossing of frozen river, indicated by phylogenetic analysis","Suspected incursion into Republic of Buryatia, Russia through crossing of frozen river, indicated by phylogenetic analysis",Yes,,"Adelshin et al., 2015 (39)",No local transmission,No,27
Asia,South Korea,Apr-13,2013,April,Dog,,,,,,Asia,South Korea,,Natural,In-country,By land,Suspected incursion from Gangwon Province into Geyonggi Province indicated by phylogenetic analysis; ,Suspected incursion from Gangwon Province into Geyonggi Province indicated by phylogenetic analysis; ,Suspected incursion from Gangwon Province into Geyonggi Province indicated by phylogenetic analysis; ,Yes,,"Oem et al., 2014 (42)",No local transmission,No,28
Asia,Israel,Sep-13,2013,September,Cow,3 dairy calves,Owned,Unvaccinated,Juvenile,Dairy,Asia,Israel,2 weeks,Human-mediated,In-country,By land,"Suspected infection by by jackal that had been shot in the vicinity and tested positive for rabies; among group of >50 calves transported from dairy farm in Golan Heights, Kibbutz Ortal to Bet Zaid Village, Emek Izrael, Jezreel Valley; 2 rabid calves among group later transported to Kfar Yehoshua","Suspected infection by by jackal that had been shot in the vicinity and tested positive for rabies; 3 among group of >50 dairy calves transported from dairy farm in Golan Heights, Kibbutz Ortal to Bet Zaid Village, Emek Izrael, Jezreel Valley; 2 out of 3 later transported to Kfar Yehoshua","Suspected infection by by jackal that had been shot in the vicinity and tested positive for rabies; 3 among group of >50 dairy calves transported from dairy farm in Golan Heights, Kibbutz Ortal to Bet Zaid Village, Emek Izrael, Jezreel Valley; 2 out of 3 later transported to Kfar Yehoshua",No,,"David et al., 2015 (43)",No local transmission,No,29
Asia,China,2014,2014,,Red fox,,,,,,Asia,Russia or Mongolia,,Natural,International (shared border),By land,"Suspected incursion from Russia/Mongolia into  Inner Mongolia Autonomous Region (IMAR), China indicated by phylogenetic analysis; resulted in secondary transmission to cow","Suspected incursion from Russia/Mongolia into Inner Mongolia Autonomous Region (IMAR), China indicated by phylogenetic analysis; resulted in secondary transmission to cow","Suspected incursion into Inner Mongolia Autonomous Region (IMAR), China indicated by phylogenetic analysis; resulted in secondary transmission to cow",Yes,,"Liu et al., 2014 (44)",Secondary transmission,Yes,30
Asia,China,2014,2014,,Raccoon dog,,,,,,Asia,Russia or Mongolia,,Natural,International (shared border),By land,"Suspected incursion from Russia/Mongolia into  Heilongjiang Province, China indicated by phylogenetic analysis; resulted in secondary transmission to goat","Suspected incursion from Russia/Mongolia into  Heilongjiang Province, China indicated by phylogenetic analysis; resulted in secondary transmission to goat","Suspected incursion into Heilongjiang Province, China indicated by phylogenetic analysis; resulted in secondary transmission to goat",Yes,,"Liu et al., 2014 (44)",Secondary transmission,Yes,31
Asia,Malaysia,2015,2015,,Dog,,,,,,Asia,Thailand,,,International (shared border),By land,"Suspected incursion from Thailand into Perlis, Malaysia indicated by phylogenetic analysis","Suspected incursion from Thailand into Perlis, Malaysia indicated by phylogenetic analysis","Suspected incursion into Perlis, Malaysia indicated by phylogenetic analysis",Yes,,"Leow et al., 2021 (45)",No local transmission,No,32
Asia,Malaysia,2015,2015,,Dog,,,,,,Asia,Thailand,,,International (shared border),By land,"Suspected incursion from Thailand into Kedah, Malaysia indicated by phylogenetic analysis ","Suspected incursion from Thailand into Kedah, Malaysia indicated by phylogenetic analysis ","Suspected incursion into Kedah, Malaysia indicated by phylogenetic analysis ",Yes,,"Leow et al., 2021 (45)",No local transmission,No,33
Asia,Bhutan,Oct-16,2016,October,Dog,"Stray, free-roaming",Unowned,,,,Asia,Bhutan,,Natural,In-country,By land,"Stray, free-roaming; incursion from Meral and Sakteng subdistricts into Rangjung town, Trashigang; bit 3 humans and caused outbreak with >20 infected animals (dogs, cattle, cat); spread facilitated by large stray dog population and lack of public health response, as cases were previously detected in neighboring villages 2-3 months prior","Stray, free-roaming; incursion from Meral and Sakteng subdistricts into Rangjung town, Trashigang; bit 3 humans and caused outbreak with >20 infected animals (dogs, cattle, cat); spread facilitated by large stray dog population and lack of public health response, as cases were previously detected in neighboring villages 2-3 months prior","Stray, free-roaming; incursion from Meral and Sakteng subdistricts into Rangjung town, Trashigang; bit 3 humans and caused outbreak with >20 infected animals (dogs, cattle, cat); spread facilitated by large stray dog population and lack of public health response, as cases were previously detected in neighboring villages 2-3 months prior",No,PEP,"Tenzin et al., 2017 (46)",Outbreak,Yes,34
Asia,India,Feb-16,2016,February,Jackal,,,,,,Asia,India,,Natural,In-country,By land,"Incursion from West Bengal into Sikkim; bit 2 cows, causing secondary transmission; suspected infection by free-roaming dog while searching for food during winter, as dog vaccination coverage is low due to cultural beliefs that dogs should not be touched","Incursion from West Bengal into Sikkim; bit 2 cows, causing secondary transmission; suspected infection by free-roaming dog while searching for food during winter, as dog vaccination coverage is low due to cultural beliefs that dogs should not be touched","Incursion from West Bengal into Sikkim; bit 2 cows, causing secondary transmission; suspected infection by free-roaming dog while searching for food during winter, as dog vaccination coverage is low due to cultural beliefs that dogs should not be touched",No,,"Byrnes et al., 2017 (47)",Secondary transmission,Yes,35
Asia,Malaysia,Jul-17,2017,July,Dog,,,,,,Asia,Indonesia,,Human-mediated,International (shared border),By land,"Suspected incursion from West Kalimantan, Indonesia into Serian, Sarawak, Malaysia indicated by phylogenetic analysis; Attributed to workers bringing dogs during construction of Pan Borneo Highway; bit 2 children; spread facilitated by minimal rabies control at border and interaction of owned and stray dogs, resulting in outbreak","Suspected incursion from West Kalimantan, Indonesia into Serian, Sarawak, Malaysia indicated by phylogenetic analysis; Attributed to workers bringing dogs during construction of Pan Borneo Highway; bit 2 children; spread facilitated by minimal rabies control at border and interaction of owned and stray dogs, resulting in outbreak","Suspected incursion from West Kalimantan, Indonesia into Serian, Sarawak, Malaysia indicated by phylogenetic analysis; Attributed to workers bringing dogs during construction of Pan Borneo Highway; bit 2 children; spread facilitated by minimal rabies control at border and interaction of owned and stray dogs, resulting in outbreak",Yes,"Culling, mass dog vaccination, PEP","Rupprecht et al., 2018 (35); Taib et al., 2019 (48); Leow et al., 2021 (45);  Ward and Brookes, 2021 (32); Global Alliance for Rabies Control, 2024 (36)",Outbreak,No,36
Asia,Indonesia,2019,2019,,Dog,Owned,Owned,,,,Asia,Indonesia,,Human-mediated,In-country,By water,Brought from Bali or Sulawesi to Sumbawa Island to guard corn crops from wild monkeys,Owned; brought from Bali or Sulawesi to Sumbawa Island to guard corn crops from wild monkeys,Owned; brought from Bali or Sulawesi to Sumbawa Island to guard corn crops from wild monkeys,No,,"Ward and Brookes, 2021 (32)",No local transmission,No,37
Europe,France,Mar-01,2001,March,Dog,"Owned (newly adopted), 3-month old puppy ",Owned,,3 months and below,,Africa,Morocco (via Spain),7 weeks,Human-mediated,"Intercontinental, International (shared border)","By land, air/water (presumed)","Adopted by owners during camping trip in Morocco and imported to Langon, Gironde, France by driving through Spain; no border controls observed for rabies (FMD only); delayed reporting of contact with another dog by owners, resulting in fine for withholding information","Owned, 3-month-old puppy; adopted by owners during camping trip in Morocco and imported to Langon, Gironde, France by driving through Spain; no border controls observed for rabies (FMD only); delayed reporting of contact with another dog by owners, resulting in fine for withholding information","Owned, 3-month-old puppy; adopted by owners during camping trip in Morocco and imported to Langon, Gironde, France by driving through Spain; no border controls observed for rabies (FMD only); delayed reporting of contact with another dog by owners, resulting in fine for withholding information",No,"Contact tracing, PEP, quarantine, controlled movement of dogs, sacrifice of associated animals (dog)","Bruyere-Masson et al., 2001 (49); Ribadeau-Dumas, 2016 (50); Alvarez et al., 2022 (51) ",No local transmission,No,38
Europe,Albania,Mar-01,2001,March,Dog,,,,,,Europe,Kosovo,,Natural,International (shared border),By land,"Migrated to Morine, Kukesi Province and bit 3 humans; suspected infection by wild animal (wolf/fox) as no ORV along border","Migrated to Morine, Kukesi Province and bit 3 humans; suspected infection by wild animal (wolf/fox) as no ORV along border","Migrated to Morine, Kukesi Province and bit 3 humans; suspected infection by wild animal (wolf/fox) as no ORV along border",No,PEP,"WHO Collaborating Centre for Rabies Surveillance and Research, 2001 (52); Blanton et al., 2007 (53); Korro et al., 2009 (54); Lika, 2010 (55)",No local transmission,No,39
Europe,Austria,Oct-01,2001,October,Dog,"Owned, two-month-old puppy",Owned,,3 months and below,,Europe,Serbia,,Human-mediated,International,By land (presumed),"Illegally imported from Belgrade, Serbia to Vienna, Austria and sold to new owners","Owned, two-month-old puppy; illegally imported from Belgrade, Serbia to Vienna, Austria and sold to new owners","Owned, two-month-old puppy; illegally imported from Belgrade, Serbia to Vienna, Austria and sold to new owners",No,"PEP, contact tracing, quarantine of exposed animals (dogs), sacrifice of associated animals (second dog of owners)","Office International des Epizooties, 2001 (56); McElhinney et al., 2011 (57)",No local transmission,No,40
Europe,Germany,Nov-01,2001,November,Dog,"Owned (newly adopted),  recently vaccinated 1-month old puppy ",Owned,Recently vaccinated,3 months and below,,Asia,Azerbaijan,2 days,Human-mediated,Intercontinental,By air,"Adopted by worker in Azerbaijan, vaccinated and given health certificate without time for rabies antibodies to develop before importation to Bavaria, Germany","Owned, 1-month-old, recently vaccinated puppy; adopted by worker in Azerbaijan, vaccinated and given health certificate without time for rabies antibodies to develop before importation to Bavaria, Germany","Owned, 1-month-old, recently vaccinated puppy; adopted by worker in Azerbaijan, vaccinated and given health certificate without time for rabies antibodies to develop before importation to Bavaria, Germany",No,"PEP, contact tracing","WHO Collaborating Centre for Rabies Surveillance and Research, 2001 (58); Johnson et al., 2011(15);  Ribadeau-Dumas, 2016 (50); Alvarez et al., 2022 (51)",No local transmission,No,41
Europe,Germany,2001,2001,,Dog,Owned,Owned,,,,Asia,Nepal,,Human-mediated,Intercontinental,By air,Imported from Nepal to Germany,Owned; imported from Nepal to Germany,Owned; imported,No,,"Cliquet and Wasniewski, 2018 (28)",No local transmission,No,42
Europe,Austria,Jan-02,2002,January,Fox,,,,,,Europe,Slovenia,,Natural,International (shared border),By land,"Incursion from Slovenia to Carinthia, Austria; caused outbreak resulting in >20 rabid animals","Incursion from Slovenia to Carinthia, Austria; caused outbreak resulting in >20 rabid animals","Incursion into Carinthia, Austria; caused outbreak resulting in >20 rabid animals",No,ORV,"Potzsch, 2014 (59); Singh et al., 2018 (60)",Outbreak,No,43
Europe,France,2002,2002,,Dog,"Owned, unvaccinated 3-month-old puppy",Owned,Unvaccinated,3 months and below,,Africa,Morocco (via Spain),7 weeks,Human-mediated,Intercontinental,"By land,  air/water (presumed)","Illegally imported from Morocco to Seine Saint Denis, France without vaccination certificate ","Owned, unvaccinated 3-month-old puppy; illegally imported from Morocco to Seine Saint Denis, France without vaccination certificate ","Owned, unvaccinated 3-month-old puppy; illegally imported to Seine Saint Denis, France without vaccination certificate ",No,PEP,"WHO Collaborating Centre for Rabies Surveillance and Research, 2001 (58); Lardon, 2010 (61); Johnson et al., 2011 (15); Mailles et al., 2011 (62);  Ribadeau-Dumas, 2016 (50); Alvarez et al., 2022 (51)",No local transmission,No,44
Europe,Switzerland,May-03,2003,May,Dog,"Owned, <1-month old puppy",Owned,,3 months and below,,Africa,Algeria or Morocco,1 month,Human-mediated,Intercontinental,,"Suspected to have been illegally imported from North Africa and abandoned in Nyon, Geneva, Switzerland; found and brought to animal shelter, later adopted","Owned, <1-month old puppy; suspected to have been illegally imported from North Africa and abandoned in Nyon, Geneva, Switzerland; found and brought to animal shelter, later adopted","Owned, <1-month old puppy; suspected to have been illegally imported and abandoned in Nyon, Geneva, Switzerland; found and brought to animal shelter, later adopted",No,"PEP, vaccination of exposed animals","Zanoni and  Breitenmoser, 2003 (63); Johnson et al., 2011 (15);  Ribadeau-Dumas, 2016 (50);",No local transmission,No,45
